timestamp,event,direction,confidence,reason,price,sl,tp,lot,zone_type,signals,rr
2026-02-19T14:01:37.024279+00:00,ENTRY,SHORT,0.72,"CHoCH bear zone confirmed, premium OTE, bear engulfing M15, 3 confluences solid. RR 1.7 acceptable.",4989.58,5038.82,4910.93,0.01,CHOCH_BEAR,"CHoCH, OB, Premium",1.6666666666666667
2026-02-19T14:11:47.502990+00:00,ENTRY,SHORT,0.75,"5 confluences, premium zone, overlap session, bear engulfing. H4 just shifted from bullishâ€”watch for reversal.",4977.17,5028.58,4890.76,0.01,BEAR_FVG,"FVG, BOS, CHoCH, OB, Premium",1.6666666666666665
2026-02-19T15:02:32.267711+00:00,ENTRY,SHORT,0.72,"6 confluences at BEAR_OB in OTE, premium zone, overlap session. RR 1.7 acceptable.",5003.19,5055.35,4908.76,0.01,BEAR_OB,"FVG, BOS, CHoCH, OB, OTE, Premium",1.6666666666666665
2026-02-19T15:12:02.299672+00:00,ENTRY,SHORT,0.72,"Bear OB with 6 confluences, OTE zone, premium P/D supports short. RR 1.7 acceptable.",5003.56,5055.56,4907.48,0.01,BEAR_OB,"FVG, BOS, CHoCH, OB, OTE, Premium",1.6666666666666665
2026-02-19T15:30:37.916968+00:00,ENTRY,SHORT,0.72,"Bear OB zone near price, OTE confirmed, 5 confluences, premium zone favors short",5017.36,5035.0,4919.24,0.01,BEAR_OB,"FVG, BOS, CHoCH, OB, Premium",1.6666666666666667
2026-02-19T15:36:05.079297+00:00,ENTRY,LONG,0.72,"BOS_BULL zone confirmed, 3 confluences, OTE valid, but premium zone adds risk",5022.22,4963.3,5120.03,0.01,BOS_BULL,"BOS, OB, FVG",1.6666666666666665
2026-02-19T15:54:51.625786+00:00,ENTRY,SHORT,0.72,"Bear OB zone confluence strong, 5 signals, premium zone, bear engulfing confirms. RR 1.7 acceptable.",5010.21,5067.22,4910.49,0.01,BEAR_OB,"FVG, BOS, CHoCH, OB, Premium",1.6666666666666665
2026-02-19T16:58:32.688268+00:00,ENTRY,SHORT,0.72,"CHoCH bear zone confirmed, 5 confluences, premium zone, bear engulfing. RR 1.7 acceptable.",4995.82,5052.74,4888.89,0.01,CHOCH_BEAR,"FVG, BOS, CHoCH, OB, Premium",1.6666666666666667
2026-02-19T20:26:52.351057+00:00,ENTRY,SHORT,0.72,"Bear OB zone with OTE, 5 confluences, RSI neutral 40.8 supports short. Off-hours risk lowers confidence.",4995.95,5054.76,4897.14,0.01,BEAR_OB,"FVG, BOS, CHoCH, OB, Premium",1.6666666666666665
2026-02-20T00:00:30.405158+00:00,ENTRY,LONG,0.78,"BOS+OB+FVG aligned with H1 bullish EMA, OTE confirmed, RSI neutral at 47",4990.57,4932.57,5086.12,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T00:03:13.427344+00:00,ENTRY,LONG,0.78,"BOS+OB+FVG aligned with H1 bullish EMA, OTE confirmed, RSI neutral at 49",4993.04,4935.81,5090.83,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T01:24:50.360680+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, EMA bullish, OTE confirmed, RR 1.7 acceptable",5004.45,4944.93,5104.68,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T01:27:52.975008+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, EMA bullish, price at bull FVG zone, OTE confirmed",4997.62,4935.04,5099.86,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666665
2026-02-20T04:28:44.850169+00:00,ENTRY,LONG,0.78,"BOS+OB+FVG confluence, EMA bullish, OTE confirmed, RSI neutral at 48.8",4994.92,4935.93,5091.18,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666665
2026-02-20T04:41:44.500048+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, BULL_CHOCH confirm, EMA bullish, OTE zone, RR 1.7 acceptable",5001.77,4941.31,5101.77,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T05:10:07.886455+00:00,ENTRY,LONG,0.78,"BOS+OB+FVG confluence, EMA bullish, OTE confirmed, RSI neutral at 48",5000.96,4949.3,5086.77,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T07:02:46.122489+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, BULL_FVG zone, H1 bullish EMA alignment, RSI 59.6 healthy",5018.09,4971.43,5097.24,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T07:20:16.132610+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG aligned with H1 bullish EMA, OTE confirmed, RSI 60 healthy",5020.42,4971.2,5101.97,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666665
2026-02-20T12:02:31.072990+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, BULL_FVG zone, EMA bullish, OTE confirmed, OVERLAP session",5014.97,4960.3,5103.12,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T12:28:53.575018+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, BULL_FVG zone, H1 bullish EMA alignment, OTE confirmed",5014.86,4958.56,5104.21,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666667
2026-02-20T14:00:29.460622+00:00,ENTRY,LONG,0.85,"BOS+OB+FVG confluence, BULL_FVG zone, EMA bullish, OTE confirmed, OVERLAP session",5044.97,4990.0,5133.38,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666665
2026-02-20T15:00:36.393464+00:00,ENTRY,LONG,0.85,"BOS+OB+FVG aligned, BULL_FVG zone near, H1 bullish EMA confirmed, OVERLAP session",5052.12,5001.23,5148.21,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666665
2026-02-20T15:07:05.348145+00:00,ENTRY,LONG,0.78,"BOS+OB+FVG+OTE quad signal in OTE zone, OVERLAP session, RSI neutral at 49",4993.49,4924.41,5109.71,0.01,BULL_FVG,"BOS, OB, FVG, OTE",1.666666666666667
2026-02-20T15:08:05.768727+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG+OTE confluence, EMA bullish, OVERLAP session, price in OTE zone",5010.96,4931.31,5119.31,0.01,BULL_FVG,"BOS, OB, FVG, OTE",1.6666666666666663
2026-02-20T15:27:18.528772+00:00,ENTRY,LONG,0.82,"BOS+OB+FVG confluence, EMA bullish, OTE confirmed, overlap session optimal",5018.23,4953.09,5141.09,0.01,BULL_FVG,"BOS, OB, FVG",1.6666666666666663
